Datetime,Tweet Id,Text,Username,Sentiment_Polarity,Sentiment
2022-06-07 00:11:05+00:00,1.53396E+18,"PT Adaro Energy Tbk sedang membuka lowongan kerja bagi lulusan S1. Lowongan kerja kali ini, PT Adaro Energy Tbk juga memperbolehkan fresh graduate. https://t.co/57XeUov9J6",kompascom,0.3,positive
2022-06-06 15:25:33+00:00,1.53383E+18,"#Lowongan KARYAWAN TETAP Perusahaan Tambang Batubara: PT. Adaro Energy Tbk, Update 6 Juni 2022 (Fresh Graduate/Berpengalaman | Semua Jurusan). Syarat, Lokasi &amp; Cara Melamar Baca Di: https://t.co/j0Gu9zOGMu https://t.co/Egc7Kn1QaZ",twitlowongan,0.3,positive
2022-06-06 07:47:26+00:00,1.53372E+18,"Adaro Energy Buka Lowongan Kerja Segambreng, Ini Syaratnya! - detikFinance https://t.co/kURRWyrJiM #loker #lowongankerja",bursakerja20,0,neutral
2022-06-06 07:47:18+00:00,1.53372E+18,"22 Posisi Lowongan Kerja di Perusahaan Tambang PT Adaro Energy, Lulusan D3 dan S21 ... https://t.co/7txOLgsDm1 #loker #lowongankerja",bursakerja20,0,neutral
2022-06-06 06:35:25+00:00,1.5337E+18,@iyelmnjauh Oh pantes. Ternyata kelas menengah atas yang mungkin sehari-hari trading saham PT BA dan Adaro Energy.,menunggu_godot,0,neutral
2022-06-06 05:56:00+00:00,1.53369E+18,PT Adaro Energy Tbk (AE) saat ini sedang membuka lowongan pekerjaan terbaru bulan Juni 2022.  https://t.co/M16A4NnDtx,detikfinance,0,neutral
2022-06-06 05:55:59+00:00,1.53369E+18,PT Adaro Energy Tbk (AE) saat ini sedang membuka lowongan pekerjaan terbaru bulan Juni 2022.  https://t.co/pBGyT1ngYx,detikcom,0,neutral
2022-06-06 05:46:00+00:00,1.53369E+18,"@sandiuno aslamualaikum pa sandi  saya salah satu pendukung setia  bapa dari kalimantan pa saya ad permohonan sama bapa saya minta pekerjaan pa di perusahaan bapa di PT adaro energy di tabalong , sya butuh sekali pa pekerjaan karena sya punya keluarga yg saya hidupi, bantu sya pa",ahmadyu34753209,0,neutral
2022-06-06 02:45:26+00:00,1.53364E+18,"Almost all oil and energy stocks are shaping up perfectly across the world. This one is Adaro Energy Indonesia Tbk

Making highs in the corrective phase of the market. You can only switch sectors in your portfolio if you stop marrying/loving a few stocks https://t.co/dXt3vK8M6w",charts_zone,0.266666667,positive
2022-06-01 16:51:33+00:00,1.53204E+18,"@jokomiroto Asing itu ya luar negeri,baseng itu dlm negeri contoh didokumenter watchdoc sky killer jelas banget PT. Adaro Energy mengeruk sumber daya alam di kalimantan tnp melihat dampak buruk lingkungan dan masyarakat :) tdk hanya itu masih bnyk lg notabenenya pemiliknya adl anggota dewan",Satria99647567,0.5,positive
